unifiedDeliveryDriver;geoKey;capacity;peakCapacity;activationDateFrom;activationDateTo;products
Poste;00121;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00122;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00123;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00124;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00125;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00126;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00127;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00128;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00131;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00132;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00133;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00134;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00135;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00136;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00137;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00138;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00139;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00141;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00142;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00143;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00144;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00145;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00146;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00147;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00148;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00149;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00151;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00152;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00153;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00154;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00155;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00156;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00157;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00158;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00159;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00161;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00162;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00163;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00164;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00165;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00166;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00167;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00168;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00169;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00171;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00172;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00173;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00174;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00175;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00176;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00177;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00178;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00179;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00181;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00182;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00183;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00184;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00185;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00186;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00187;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00188;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00189;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00191;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00192;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00193;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00195;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00196;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00197;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00198;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00199;4000;4000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;VT;2000;5000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;890,AR,RS
Poste;01010;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01011;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01012;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01014;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01015;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01016;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01017;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01018;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01019;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01020;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01021;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01022;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01023;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01024;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01025;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01027;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01028;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01030;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01032;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01033;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01034;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01035;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01036;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01037;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01038;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01039;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;01100;3000;3000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
